OperationName,OperationNameValue,Category,CategoryValue
Account HnsOn Migration,Microsoft.Storage/storageAccounts/hnsonmigration/action,Administrative,Administrative
Add API to product,Microsoft.ApiManagement/service/products/apis/write,Administrative,Administrative
Add backend or Update backend,Microsoft.ApiManagement/service/backends/write,Administrative,Administrative
Add language extensions action,Microsoft.Synapse/workspaces/kustoPools/addLanguageExtensions/action,Administrative,Administrative
Add management locks,Microsoft.Authorization/locks/write,Administrative,Administrative
Add management locks,microsoft.authorization/locks/write,Administrative,Administrative
Add or modify schedules.,Microsoft.DevTestLab/schedules/write,Administrative,Administrative
Add or Update Connection,Microsoft.Web/connections/write,Administrative,Administrative
Add Provider Subscription Feature Registration,Microsoft.Features/featureProviders/subscriptionFeatureRegistrations/write,Administrative,Administrative
Add root collection admin to account resource,Microsoft.Purview/accounts/addRootCollectionAdmin/action,Administrative,Administrative
Adds or updates a specific Azure Active Directory administrator object,Microsoft.Sql/servers/administrators/write,Administrative,Administrative
Assess virtual machine for available OS update patches,Microsoft.Compute/virtualMachines/assessPatches/action,Administrative,Administrative
Assess virtual machine for available OS update patches,microsoft.compute/virtualmachines/assessPatches/action,Administrative,Administrative
Associate group with product,Microsoft.ApiManagement/service/products/groups/write,Administrative,Administrative
Backup Protected Item,Microsoft.RecoveryServices/vaults/backupFabrics/protectionContainers/protectedItems/backup/action,Administrative,Administrative
BackupWebSite,BackupWebSite,Administrative,Administrative
Cancel Deployment,Microsoft.Resources/deployments/cancel/action,Administrative,Administrative
Change state of Private Endpoint Connection Proxy,Microsoft.KeyVault/vaults/privateEndpointConnectionProxies/write,Administrative,Administrative
Check Accelerated Networking support,Microsoft.Network/locations/checkAcceleratedNetworkingSupport/action,Administrative,Administrative
Check Backup Status for Vault,Microsoft.RecoveryServices/locations/backupStatus/action,Administrative,Administrative
Check name availability action,Microsoft.Synapse/locations/kustoPoolCheckNameAvailability/action,Administrative,Administrative
Check Resource Name Availability Action,Microsoft.RecoveryServices/locations/checkNameAvailability/action,Administrative,Administrative
Check Server Name Availability,Microsoft.DBforPostgreSQL/checkNameAvailability/action,Administrative,Administrative
Check Server Name Availability,Microsoft.Sql/checkNameAvailability/action,Administrative,Administrative
Check Service Name Availability,Microsoft.Search/checkNameAvailability/action,Administrative,Administrative
Checks Default Storage Account Status.,Microsoft.Synapse/workspaces/checkDefaultStorageAccountStatus/action,Administrative,Administrative
Checks name for compute in batch endpoint in Machine Learning Services Workspace(s),Microsoft.MachineLearningServices/workspaces/checkComputeNameAvailability/action,Administrative,Administrative
Checks Workspace name availability.,Microsoft.Synapse/checkNameAvailability/action,Administrative,Administrative
